"folio","fpago","almacen","fechatt","cliente","importe","serie","hora","agente","sucursal","id"
"160,128","C","28","2023-01-03","MOSTRADOR","37","TCZ","08:12:09","507","COAT","100646"
"13,019","C","31","2023-01-31","MOSTRADOR","193","3R2","12:22:02","684","VEPR2","107984"
"201,954","C","29","2023-01-06","MOSTRADOR","30","TGZ","11:49:00","783","GZAMO","135917"
"228,430","C","21","2023-01-04","MOSTRADOR","608","TTX","20:11:17","397","TX","135931"
"210,045","C","20","2023-01-14","MOSTRADOR","1","TPZ","14:07:00","11","PR","136127"
"32,790","C","12","2023-01-11","MOSTRADOR","13","TXA","09:33:31","698","XALAP","136138"
"336,171","C","06","2023-01-10","MOSTRADOR","96","TTP","13:06:28","18","TL","136139"
"465,437","C","05","2023-01-11","MOSTRADOR","2","TT1","19:52:26","45","TZ","136247"
"26,465","C","24","2023-01-03","MOSTRADOR","10","TZM","08:32:53","710","TMZ","136655"
"26,471","C","24","2023-01-03","MOSTRADOR","673","TZM","09:05:15","710","TMZ","136656"
"32,178","C","12","2023-01-03","MOSTRADOR","12","TXA","08:10:38","55","XALAP","137119"
"26,465","C","24","2023-01-03","MOSTRADOR","465","TZM","12:22:11","16","TMZ","137120"
"164,683","C","27","2023-01-03","MOSTRADOR","103","TT3","08:00:19","779","HIDAL","137121"
"165,370","C","27","2023-01-11","MOSTRADOR","64","TT3","19:59:06","46","HIDAL","143207"
"487,101","C","03","2023-01-13","MOSTRADOR","368","TME","17:20:16","743","ME","204031"
"100,707","C","31","2023-01-11","MOSTRADOR","26","TR2","18:43:56","684","VEPR2","221481"
"492,934","C","19","2023-01-11","MOSTRADOR","595","TID","20:07:23","511","INDE","222009"
"68,869","C","35","2023-01-11","MOSTRADOR","130","TPP","08:15:22","736","PAPA2","270344"
"66,590","C","37","2023-01-04",,"0","TR","11:57:37","5","CEDIS","271025"
"636","K","14","2023-01-02","GUSTAVO PE","6","3T4","19:03:31","766","TEZIU","272100"
"32,201","C","12","2023-01-03","MOSTRADOR","8","TXA","10:47:42","55","XALAP","272321"
"68,144","C","35","2023-01-03","MOSTRADOR","77","TPP","08:25:15","509","PAPA2","272322"
"8,165","C","14","2023-01-03","MOSTRADOR","45","TT4","08:53:59","377","TEZIU","272459"
"68,149","C","35","2023-01-03","MOSTRADOR","39","TPP","09:46:59","509","PAPA2","272863"
"68,871","C","35","2023-01-11","MOSTRADOR","73","TPP","08:29:54","759","PAPA2","272956"
"32,779","K","12","2023-01-11","MOSTRADOR","133","TXA","08:02:37","55","XALAP","272957"
"288,973","C","21","2023-01-03","MOSTRADOR","99","TTX","07:58:31","96","TX","273119"
"8,160","C","14","2023-01-03","MOSTRADOR","325","TT4","08:13:54","784","TEZIU","273193"
"27,873","C","26","2023-01-03","MOSTRADOR","1","TTI","08:11:18","166","TIHUA","273194"
"534,323","C","03","2023-01-03","MOSTRADOR","41","TME","08:05:26","14","ME","273196"
"32,180","C","12","2023-01-03","MOSTRADOR","42","TXA","08:46:14","55","XALAP","273377"
"164,684","C","27","2023-01-03","MOSTRADOR","15","TT3","08:22:53","778","HIDAL","273385"
"604,942","C","08","2023-01-03","MOSTRADOR","12","TT2","08:02:44","765","RP","273386"
